Názov stanice,Cestovný poriadok,Bezbariérový prístup
Rochovce,166,
Rohožník,112,
Rovinka,131,
Roštár,166,
Rožkovany,188,áno
Rožňava,"160,167",áno
Rožňava mesto,167,
Rožňava predmestie,167,
Rudina,127,áno
Rudno nad Hronom,150,
Ruskov,190,
Ruskovce,143,áno
Rusovce,132,
Ružomberok,"120,180",áno
Ružomberok-Rybárpole,180,áno
Ružín,180,áno
Rybany,143,áno
Ráztočno,145,áno
Sabinov,188,áno
Sačurov,192,
Sedliacka Dubová,181,
Sedmerovec,124,
Sekule,110,áno
Senec,130,áno
Senica,116,áno
Sereď,133,áno
Sečovce,192,
Sečovská Polianka,192,
Seňa,169,áno
Sibír,183,áno
Siladice,133,áno
Skalica na Slovensku,114,
Skalité,129,áno
Skalité pod Poľanou,129,áno
Skalité zastávka,129,áno
Skalité-Kudlov,129,áno
Skalité-Serafínov,129,áno
Sklené pri Handlovej,145,
Slanec,190,áno
Slaná Lehota,162,áno
Slatina,153,
Slavec jaskyňa,160,
Slavošovce,166,
Slavošovce obec,166,
Slepčany,151,
Sliač kúpele,170,
Slovenská Ľupča,172,
Slovenská Ľupča-Príboj,172,
Slovenské Nové Mesto,190,áno
Sládkovičovo,130,
Smižany,180,áno
Smolenice,116,áno
Snina,196,
Snina mesto,196,áno
Snina predmestie,196,áno
Soblahov,143,áno
Sološnica,112,
Somotor,190,áno
Soľ,193,
Spišská Belá zastávka,185,áno
Spišská Nová Ves,"120,180,186",áno
Spišské Podhradie,187,áno
Spišské Tomášovce,180,áno
Spišské Vlachy,"180,187",áno
Spišské Vlachy mesto,187,áno
Spišský Štiavnik,180,áno
Stakčín,196,áno
Stankovany,180,áno
Stanča,191,áno
Stará Kremnička,171,
Stará Lesná,184,áno
Stará Turá,121,áno
Stará Voda,173,áno
Stará Ľubovňa,185,áno
Starý Smokovec,"183,184",áno
Staškov,128,áno
Staškov zastávka,128,áno
Stožok,160,
Stratená,173,áno
Streda nad Bodrogom,190,áno
Strekov,130,
Strelenka,125,
Strážky zastávka,185,
Strážske,"191,193",
Studený Potok,185,áno
Sukov,191,
Sučany,180,áno
Svinná,143,áno
Svit,180,
Svrčinovec,129,áno
Svrčinovec zastávka,127,áno
Svätý Jur,120,áno
Sykavka,173,
Sása-Pliešovce,153,
Sľažany,141,
Tatranská Lesná,184,
Tatranská Lomnica,"184,185",áno
Tatranská Lomnica TEŽ,184,
Tatranská Lomnica zastávka,185,áno
Tatranská Polianka,183,áno
Tatranské Zruby,183,áno
Tatranský Lieskovec,182,áno
Tekovská Breznica,150,
Tekovské Lužany,152,
Tekovský Hrádok,152,
Telgárt,173,áno
Telgárt penzión,173,áno
Teplička nad Hornádom,180,áno
Teplička nad Váhom,180,
Terany,153,
Tesárske Mlyňany,151,
Tešedíkovo,134,
Tisovec,174,
Tisovec mesto,174,
Tisovec-Bánovo,174,
Tlmače,150,áno
Tomášovce,160,áno
Toporec,185,áno
Topoľnica,130,áno
Topoľčany,140,
Tornaľa,160,
Trebejov,180,áno
Trebišov,"190,191,192",áno
Trebišov zastávka,192,
Trenčianska Teplá,"120,122,123,124,180",áno
Trenčianska Teplá obec,122,
Trenčianska Teplá zastávka,122,
Trenčianska Teplá ÚRT,122,
Trenčianska Turná,143,áno
Trenčianske Bohuslavice,120,áno
Trenčianske Jastrabie,143,
Trenčianske Teplice,122,áno
Trenčianske Teplice sídlisko,122,
Trenčianske Teplice zastávka,122,
Trenčín,"120,143,180",
Trenčín predmestie,143,áno
Trenčín-Opatová,120,
Trenčín-Zlatovce,120,áno
Tretí Hámor,173,áno
Trnava,"116,120,133",áno
Trnava predmestie,116,
Trnavá Hora,171,
Trnovec nad Váhom,130,áno
Trstená,181,
